Bin,Tx,ref_gene,ASO24,ASO25,ASO26,fc
1-1.5,1,RPL32,5,5,5,1.1342495
1-1.5,1,HPRT,5,5,5,1.1655762
1.5-2,5,HPRT,5,10,20,1.8477935
2-2.5,5,RPL32,5,10,20,2.0057127
2-2.5,10,HPRT,5,20,20,2.3598133
2.5-3,13,HPRT,5,20,10,2.5661812
2.5-3,14,RPL32,5,20,10,2.8482724
3-3.5,15,RPL32,5,20,20,3.1579709
1.5-2,3,HPRT,10,5,20,1.6989247
1.5-2,4,HPRT,10,10,10,1.7404645
1.5-2,2,RPL32,10,5,20,1.7638623
1.5-2,4,RPL32,10,10,10,1.9613915
2-2.5,7,RPL32,10,20,5,2.3387201
2-2.5,9,HPRT,10,20,5,2.3409898
2-2.5,9,RPL32,10,20,10,2.399186
2-2.5,12,HPRT,10,20,10,2.4574052
2.5-3,14,HPRT,10,10,20,2.63606
3-3.5,16,RPL32,10,10,20,3.2461449
3-3.5,18,HPRT,10,20,20,3.3417532
3-3.5,17,RPL32,10,20,20,3.4832939
1.5-2,2,HPRT,20,5,10,1.6794642
1.5-2,3,RPL32,20,5,10,1.8302666
2-2.5,6,HPRT,20,5,20,2.0022507
2-2.5,7,HPRT,20,10,5,2.2116724
2-2.5,6,RPL32,20,5,20,2.228574
2-2.5,8,HPRT,20,20,5,2.3206208
2-2.5,8,RPL32,20,10,5,2.3850017
2-2.5,11,HPRT,20,10,10,2.4324997
2.5-3,10,RPL32,20,10,10,2.5279067
2.5-3,11,RPL32,20,20,5,2.5966645
2.5-3,15,HPRT,20,20,10,2.685748
2.5-3,12,RPL32,20,10,20,2.7954624
2.5-3,16,HPRT,20,10,20,2.8231049
2.5-3,13,RPL32,20,20,10,2.8421979
2.5-3,17,HPRT,20,20,20,2.9201406
3.5-4,18,RPL32,20,20,20,3.5202023
